Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000048
 0.0500	 0.000053	 0.002198	 0.000007	 0.000308	-0.000097
 0.0750	 	 	 	 	-0.000185
 0.1000	 0.000256	 0.006273	 0.000038	 0.000970	-0.000274
 0.1250	 	 	 	 	-0.000484
 0.1500	 0.000716	 0.012916	 0.000111	 0.002058	-0.000696
 0.1750	 	 	 	 	-0.000989
 0.2000	 0.001512	 0.020376	 0.000240	 0.003334	-0.001284
 0.2250	 	 	 	 	-0.003199
 0.2500	 0.002743	 0.031093	 0.000443	 0.005131	-0.005102
 0.2750	 	 	 	 	-0.007339
 0.3000	 0.004514	 0.042964	 0.000734	 0.007025	-0.009555
 0.3250	 	 	 	 	-0.011912
 0.3500	 0.006865	 0.055426	 0.001115	 0.008923	-0.014231
 0.3750	 	 	 	 	-0.016819
 0.4000	 0.009838	 0.068980	 0.001589	 0.010883	-0.019352
 0.4250	 	 	 	 	-0.021796
 0.4500	 0.013511	 0.084679	 0.002160	 0.013000	-0.024173
 0.4750	 	 	 	 	-0.027014
 0.5000	 0.018011	 0.103582	 0.002838	 0.015332	-0.029760
 0.5250	 	 	 	 	-0.032930
 0.5500	 0.023515	 0.126526	 0.003633	 0.017864	-0.035939
 0.5750	 	 	 	 	-0.039583
 0.6000	 0.030229	 0.154070	 0.004552	 0.020537	-0.043018
 0.6250	 	 	 	 	-0.047307
 0.6500	 0.038392	 0.186901	 0.005601	 0.023277	-0.051278
 0.6750	 	 	 	 	-0.056432
 0.7000	 0.048296	 0.226547	 0.006781	 0.026026	-0.061132
 0.7250	 	 	 	 	-0.066817
 0.7500	 0.060075	 0.265186	 0.008080	 0.028257	-0.071897
 0.7750	 	 	 	 	-0.077837
 0.8000	 0.073561	 0.298041	 0.009470	 0.029866	-0.082986
 0.8250	 	 	 	 	-0.089407
 0.8500	 0.088472	 0.324844	 0.010923	 0.030964	-0.094788
 0.8750	 	 	 	 	-0.100199
 0.9000	 0.104460	 0.343303	 0.012415	 0.031531	-0.104357
 0.9250	 	 	 	 	-0.108604
 0.9500	 0.121106	 0.352915	 0.013925	 0.031733	-0.111354
 0.9750	 	 	 	 	-0.116000
 1.0000	 0.138082	 0.357189	 0.015440	 0.031790	-0.117598


 -------- Mode No.   2  (freq = 0.11998E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000005
 0.0500	-0.000022	-0.000886	 0.000211	 0.008708	 0.000006
