Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:32.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.33835E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000460	 0.018229	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.001837	 0.036685	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.004143	 0.055341	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.007385	 0.074160	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.011572	 0.093086	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.016706	 0.112047	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.022788	 0.130970	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.029813	 0.149763	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.037773	 0.168331	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.046653	 0.186557	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.056433	 0.204303	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.067085	 0.221405	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.078572	 0.237686	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.090848	 0.252933	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.103854	 0.266878	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.117518	 0.279208	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.131751	 0.289592	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.146446	 0.297641	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.161474	 0.302894	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.176683	 0.304805	 0.000000	 0.000000	 0.000000


 -------- Mode No.   2  (freq = 0.33836E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.000460	 0.018229	 0.000000
